ensembl_gene_id;gene_symbol_hint;platform;mean;sd
ENSG00000007520;TSR3;RNA_Seq;10,2201;0,5918
ENSG00000007541;PIGQ;RNA_Seq;10,2282;0,7065
ENSG00000007545;CRAMP1;RNA_Seq;10,6711;0,6453
ENSG00000007866;TEAD3;RNA_Seq;10,3332;1,1642
ENSG00000007908;SELE;RNA_Seq;1,5048;3,287
ENSG00000007923;DNAJC11;RNA_Seq;11,1389;0,4823
ENSG00000007933;FMO3;RNA_Seq;1,7839;3,3114
ENSG00000007944;MYLIP;RNA_Seq;9,4621;1,4791
ENSG00000007952;NOX1;RNA_Seq;4,1103;4,3604
ENSG00000007968;E2F2;RNA_Seq;9,0065;1,2358
ENSG00000008018;PSMB1;RNA_Seq;12,2752;0,6356
ENSG00000008056;SYN1;RNA_Seq;3,8071;3,0399
ENSG00000008083;JARID2;RNA_Seq;10,1904;1,1762
ENSG00000008086;CDKL5;RNA_Seq;9,1978;1,2944
ENSG00000008118;CAMK1G;RNA_Seq;1,82;2,9228
ENSG00000008128;CDK11A;RNA_Seq;10,0813;0,8444
ENSG00000008130;NADK;RNA_Seq;11,3987;0,6069
ENSG00000008196;TFAP2B;RNA_Seq;1,5022;4,071
ENSG00000008197;TFAP2D;RNA_Seq;-0,5906;2,6623
ENSG00000008226;DLEC1;RNA_Seq;5,6679;1,7967
ENSG00000008256;CYTH3;RNA_Seq;10,2021;1,2612
ENSG00000008277;ADAM22;RNA_Seq;7,4014;1,9855
ENSG00000008282;SYPL1;RNA_Seq;12,091;0,8871
ENSG00000008283;CYB561;RNA_Seq;11,4246;1,1725
ENSG00000008294;SPAG9;RNA_Seq;12,2438;0,7469
ENSG00000008300;CELSR3;RNA_Seq;9,4069;1,7524
ENSG00000008311;AASS;RNA_Seq;7,7122;2,0849
ENSG00000008323;PLEKHG6;RNA_Seq;8,4766;3,1308
ENSG00000008324;SS18L2;RNA_Seq;8,7447;0,7047
ENSG00000008382;MPND;RNA_Seq;8,6619;0,8334
